Title,Artist,Year,Entities,Entity Lines
Dance Monkey,Tones And I,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Watermelon Sugar,Harry Styles,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Señorita,Shawn Mendes,2019.,"[set(), {'miami'}]","{'brands': {}, 'locations': {'miami': 'Land in Miami'}}"
Don't Start Now,Dua Lipa,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
bad guy,Billie Eilish,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Circles,Post Malone,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Cruel Summer,Taylor Swift,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Before You Go,Lewis Capaldi,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
The Box,Roddy Ricch,2019.,"[{'rollie', 'patek', 'cadillac'}, set()]","{'brands': {'cadillac': 'Cruise the city in a bulletproof Cadillac (Skrrt)', 'patek': 'Patek like the sea, forgive me', 'rollie': 'I just made the Rollie plain like a landing strip'}, 'locations': {}}"
when the party's over,Lewis Capaldi,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
I Don't Care,Ed Sheeran,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
LA CANCIÓN,J Balvin,2019.,"[{'chanel'}, set()]","{'brands': {'chanel': ""Tú brincando mojaíta', sudando Chanel""}, 'locations': {}}"
Adore You,Harry Styles,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Wow.,Post Malone,2019.,"[{'lambo'}, {'utah'}]","{'brands': {'lambo': '750 Lambo in the Utah snow (Skrrt)'}, 'locations': {'utah': '750 Lambo in the Utah snow (Skrrt)'}}"
HIGHEST IN THE ROOM,Travis Scott,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
everything i wanted,Billie Eilish,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Old Town Road,Lil Nas X,2019.,"[{'porsche', 'gucci', 'wrangler'}, set()]","{'brands': {'porsche': 'You can whip your Porsche', 'gucci': 'Cowboy hat from Gucci', 'wrangler': 'Wrangler on my booty'}, 'locations': {}}"
Tusa,KAROL G,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
ROXANNE,Arizona Zervas,2019.,"[set(), {'la', 'malibu'}]","{'brands': {}, 'locations': {'malibu': 'Malibu, uh, Malibu', 'la': 'In LA, yeah, got no brakes, yeah'}}"
Lover,Taylor Swift,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Callaita,Bad Bunny,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Sucker,Jonas Brothers,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Beautiful People,Ed Sheeran,2019.,"[{'hummers', 'lamborghinis'}, {'l.a.'}]","{'brands': {'lamborghinis': 'Lamborghinis and their rented Hummers', 'hummers': 'Lamborghinis and their rented Hummers'}, 'locations': {'l.a.': 'L.A., mmm'}}"
Ransom,Lil Tecca,2019.,"[{'chanel', 'louis', 'glocks', 'prada', 'phantom', 'fendi', 'balenciaga'}, {'milan'}]","{'brands': {'phantom': 'Hop outside a Ghost and hop up in a Phantom', 'glocks': 'I got two twin Glocks, turn you to a dancer', 'chanel': 'The Chanel or Balenciaga, Louis and Vuitton', 'balenciaga': 'The Chanel or Balenciaga, Louis and Vuitton', 'louis': 'The Chanel or Balenciaga, Louis and Vuitton', 'fendi': 'She know I got the Fendi, Prada when I hit Milan', 'prada': 'She know I got the Fendi, Prada when I hit Milan'}, 'locations': {'milan': 'She know I got the Fendi, Prada when I hit Milan'}}"
No Me Conoce,JHAYCO,2019.,"[{'barbie'}, set()]","{'brands': {'barbie': 'Una Barbie pero no busca un Ken (No)'}, 'locations': {}}"
Ride It,Regard,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Con Calma,Daddy Yankee,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
Dancing With A Stranger,Sam Smith,2019.,"[set(), set()]","{'brands': {}, 'locations': {}}"
MIDDLE CHILD,PnB Rock,2019.,"[{'louis'}, set()]","{'brands': {'louis': 'So much cash in my jeans, Louis V, pocket wallet'}, 'locations': {}}"
Under The Influence,Chris Brown,2019.,"[{'gopro', 'molly'}, set()]","{'brands': {'molly': ""Can't do Percocets or Molly\u2005(Molly)"", 'gopro': ""Let's GoPro and make a video (Video)""}, 'locations': {}}"
