Title,Artist,Year,Entities
Watermelon Sugar,Harry Styles,2019.,"[set(), set()]"
Señorita,Shawn Mendes,2019.,"[set(), {'miami'}]"
Don't Start Now,Dua Lipa,2019.,"[set(), set()]"
bad guy,Billie Eilish,2019.,"[set(), set()]"
Circles,Post Malone,2019.,"[set(), set()]"
Cruel Summer,Taylor Swift,2019.,"[set(), set()]"
Before You Go,Lewis Capaldi,2019.,"[set(), set()]"
The Box,Roddy Ricch,2019.,"[{'patek', 'rollie', 'cadillac'}, set()]"
when the party's over,Lewis Capaldi,2019.,"[set(), set()]"
I Don't Care,Ed Sheeran,2019.,"[set(), set()]"
LA CANCIÓN,J Balvin,2019.,"[{'chanel'}, set()]"
Adore You,Harry Styles,2019.,"[set(), set()]"
Wow.,Post Malone,2019.,"[{'lambo'}, {'utah'}]"
HIGHEST IN THE ROOM,Travis Scott,2019.,"[set(), set()]"
everything i wanted,Billie Eilish,2019.,"[set(), set()]"
Old Town Road,Lil Nas X,2019.,"[{'gucci', 'porsche', 'wrangler'}, set()]"
Tusa,KAROL G,2019.,"[set(), set()]"
ROXANNE,Arizona Zervas,2019.,"[set(), {'malibu', 'la'}]"
Lover,Taylor Swift,2019.,"[set(), set()]"
Callaita,Bad Bunny,2019.,"[set(), set()]"
Sucker,Jonas Brothers,2019.,"[set(), set()]"
Beautiful People,Ed Sheeran,2019.,"[{'lamborghinis', 'hummers'}, {'l.a.'}]"
Ransom,Lil Tecca,2019.,"[{'louis', 'glocks', 'fendi', 'balenciaga', 'phantom', 'prada', 'chanel'}, {'milan'}]"
No Me Conoce,JHAYCO,2019.,"[{'barbie'}, set()]"
Ride It,Regard,2019.,"[set(), set()]"
Con Calma,Daddy Yankee,2019.,"[set(), set()]"
Dancing With A Stranger,Sam Smith,2019.,"[set(), set()]"
MIDDLE CHILD,PnB Rock,2019.,"[{'louis'}, set()]"
Under The Influence,Chris Brown,2019.,"[{'molly', 'gopro'}, set()]"
Goodbyes,Post Malone,2019.,"[{'barbie'}, set()]"
Astronaut In The Ocean,Masked Wolf,2019.,"[set(), set()]"
Falling,Harry Styles,2019.,"[set(), set()]"
Say So,Doja Cat,2019.,"[set(), set()]"
Arcade,Duncan Laurence,2019.,"[set(), set()]"
China,Anuel AA,2019.,"[set(), {'cartagena'}]"
If the World Was Ending,JP Saxe,2019.,"[set(), set()]"
It's You,Ali Gatie,2019.,"[set(), set()]"
Breaking Me,Topic,2019.,"[set(), set()]"
Dior,Pop Smoke,2019.,"[{'dior'}, set()]"
Streets,Doja Cat,2019.,"[set(), {'paris'}]"
"10,000 Hours",Dan + Shay,2019.,"[set(), set()]"
No Guidance,Chris Brown,2019.,"[{'birkin'}, set()]"
If I Can't Have You,Shawn Mendes,2019.,"[set(), {'toronto'}]"
Don't Call Me Up,Mabel,2019.,"[set(), set()]"
bury a friend,Billie Eilish,2019.,"[set(), set()]"
X,Nicky Jam,2019.,"[set(), set()]"
Piece Of Your Heart,MEDUZA,2019.,"[set(), set()]"
Vete,Bad Bunny,2019.,"[set(), set()]"
EARFQUAKE,"Tyler, The Creator",2019.,"[{'tiffany'}, set()]"
Money In The Grave (Drake ft. Rick Ross),Drake,2019.,"[{'gucci', 'miller', 'zara'}, {'nashville', 'austin', 'georgia'}]"
How Do You Sleep?,Sam Smith,2019.,"[set(), set()]"
Lalala,Y2K,2019.,"[{'gucci'}, {'canada'}]"
Talk,Khalid,2019.,"[set(), set()]"
Soltera (Remix),Lunay,2019.,"[set(), set()]"
RITMO (Bad Boys For Life),Black Eyed Peas,2019.,"[{'reebok', 'nike'}, {'mexico'}]"
Sunday Best,Surfaces,2019.,"[set(), set()]"
Higher Love,Kygo,2019.,"[set(), set()]"
You Need To Calm Down,Taylor Swift,2019.,"[set(), set()]"
i love you,Billie Eilish,2019.,"[set(), set()]"
Lose Control,MEDUZA,2019.,"[set(), set()]"
Bandit,Juice WRLD,2019.,"[{'tommy hilfiger'}, set()]"
ily (i love you baby),Surf Mesa,2019.,"[set(), set()]"
