Artist,Title,Streams,Daily
Harry Styles,As It Was,"3,456,332,450","1,975,492"
SZA,Kill Bill,"1,978,157,006","1,978,882"
Bad Bunny,Me Porto Bonito,"1,861,424,445","978,816"
Manuel Turizo,La Bachata,"1,823,300,637","2,185,614"
David Guetta,I’m Good (Blue),"1,743,667,338","1,675,925"
Bizarrap,"Quevedo: Bzrp Music Sessions, Vol. 52","1,735,124,130","803,972"
OneRepublic,I Ain't Worried,"1,686,722,813","1,318,315"
Taylor Swift,Anti-Hero,"1,616,099,655","1,090,022"
Sam Smith,Unholy,"1,595,117,280","753,088"
Bad Bunny,Tití Me Preguntó,"1,550,682,061","726,467"
Bad Bunny,Ojitos Lindos,"1,464,438,242","827,664"
Rema,Calm Down,"1,441,744,020","940,614"
Metro Boomin,Creepin',"1,382,679,762","828,349"
Bad Bunny,Efecto,"1,329,559,800","679,138"
Joji,Glimpse of Us,"1,298,887,398","651,874"
Imagine Dragons,Bones,"1,285,066,428","1,051,507"
KAROL G,PROVENZA,"1,235,986,691","1,088,640"
d4vd,Romantic Homicide,"1,204,190,524","1,322,193"
JVKE,golden hour,"1,167,908,285","734,377"
Bad Bunny,Moscow Mule,"1,145,091,983","728,177"
Steve Lacy,Bad Habit,"1,134,279,041","938,751"
SZA,Snooze,"1,102,678,882","1,135,249"
Rosa Linn,SNAP,"1,084,238,449","820,233"
Noah Kahan,Stick Season,"1,077,647,725","2,041,663"
Stephen Sanchez,Until I Found You,"1,054,698,596","937,725"
ROSALÍA,DESPECHÁ,"1,041,653,612","783,941"
Ozuna,Hey Mor,"1,018,142,380","668,148"
Drake,Jimmy Cooks,"1,006,146,141","652,779"
Feid,Feliz Cumpleaños Ferxxo,"993,468,533","961,553"
Harry Styles,Late Night Talking,"983,345,898","397,699"
Zach Bryan,Something in the Orange,"963,454,808","1,372,135"
Becky G,MAMIII,"950,119,824","866,032"
Nicky Youre,Sunroof,"945,865,066","1,023,726"
Camila Cabello,Bam Bam,"927,532,733","359,214"
Sabrina Carpenter,Nonsense,"916,699,003","1,613,958"
Swedish House Mafia,Moth To A Flame,"905,604,167","813,015"
Lizzo,About Damn Time,"859,727,830","235,548"
Yandel,Yandel 150,"859,114,209","417,616"
Bad Bunny,Neverita,"853,428,237","402,626"
Post Malone,I Like You (A Happier Song),"850,565,927","412,298"
Jack Harlow,First Class,"834,445,631","341,138"
RAYE,Escapism.,"834,315,650","529,727"
Drake,Rich Flex,"829,535,636","307,425"
Future,WAIT FOR U,"829,028,445","932,460"
Beyoncé,CUFF IT,"814,453,129","340,755"
Taylor Swift,Karma,"808,203,143","592,698"
Benson Boone,In The Stars,"781,536,064","1,040,774"
Mora,LA INOCENTE,"767,517,599","594,468"
Bad Bunny,Tarot,"765,399,607","434,911"
Feid,Normal,"764,073,234","761,542"
BLACKPINK,Pink Venom,"760,338,836","394,673"
Panic! At The Disco,House of Memories,"753,348,205","361,335"
Meghan Trainor,Made You Look,"743,463,693","613,420"
Bad Bunny,Party,"740,766,604","297,706"
Arcángel,La Jumpa,"733,247,281","292,402"
Metro Boomin,Too Many Nights,"732,386,134","872,994"
Taylor Swift,Lavender Haze,"732,207,939","396,012"
Shakira,Te Felicito,"730,723,028","219,530"
Carin Leon,Que Vuelvas,"725,812,691","1,020,695"
iñigo quintero,Si No Estás,"708,000,639","742,392"
Central Cee,Doja,"707,770,744","583,170"
The Weeknd,Is There Someone Else?,"700,728,806","584,992"
Øneheart,snowfall,"699,745,301","873,849"
Morgan Wallen,You Proof,"696,232,158","927,460"
Kordhell,MURDER IN MY MIND,"693,705,309","443,726"
Rauw Alejandro,LOKERA,"693,022,914","718,131"
Natanael Cano,AMG,"691,421,770","462,895"
Lil Uzi Vert,Just Wanna Rock,"689,354,360","374,904"
Metro Boomin,Trance,"677,837,240","758,139"
Taylor Swift,Midnight Rain,"677,804,693","378,480"
BLACKPINK,Shut Down,"673,722,889","366,715"
Dove Cameron,Boyfriend,"655,465,622","328,051"
Libianca,People,"653,647,702","587,608"
James Hype,Ferrari,"649,642,124","453,607"
NewJeans,Ditto,"639,856,848","465,055"
SZA,Nobody Gets Me,"639,642,426","1,057,759"
Quevedo,PUNTO G,"620,857,981","404,311"
Taylor Swift,"You're On Your Own, Kid","609,841,683","424,505"
Bad Bunny,La Corriente,"607,787,630","294,050"
Charlie Puth,Light Switch,"605,031,529","185,509"
Grupo Frontera,NO SE VA,"604,718,923","578,458"
Billie Eilish,TV,"602,682,936","569,961"
Rema,Calm Down,"600,390,315","311,662"
Feid,CHORRITO PA LAS ANIMAS,"586,590,167","485,179"
JID,Surround Sound,"580,409,734","572,446"
Tiësto,10:35,"571,777,401","528,668"
Imanbek,Belly Dancer,"570,684,413","427,609"
Lizzy McAlpine,ceilings,"569,270,682","512,380"
NewJeans,Hype Boy,"565,379,987","444,190"
Nicki Minaj,Super Freaky Girl,"561,691,498","224,304"
Bad Bunny,Un Coco,"560,627,974","487,186"
Taylor Swift,Bejeweled,"556,804,493","393,095"
Ryan Castro,Jordan,"556,260,885","399,007"
Bad Bunny,Después de la Playa,"554,803,300","234,172"
Danny Ocean,Fuera del mercado,"549,297,939","257,096"
ThxSoMch,SPIT IN MY FACE!,"543,158,313","416,658"
Rels B,cómo dormiste?,"539,409,649","428,482"
Fuerza Regida,Ch y la Pizza,"537,955,453","392,082"
Pritam,Kesariya,"533,584,655","326,084"
Quevedo,VISTA AL MAR,"529,705,464","352,210"
Harry Styles,Matilda,"519,021,713","296,570"
Bad Bunny,Un Ratito,"514,120,713","268,306"
Christian Nodal,Ya No Somos Ni Seremos,"510,770,643","795,955"
Shakira,Monotonía,"509,523,998","197,535"
Luke Combs,The Kind of Love We Make,"502,692,989","667,900"
SZA,Shirt,"492,437,944","279,649"
MEDUZA,Bad Memories,"485,486,757","447,295"
King,Maan Meri Jaan,"482,987,952","288,421"
Dean Lewis,How Do I Say Goodbye,"481,017,477","384,637"
Coi Leray,Players,"476,878,920","207,005"
LE SSERAFIM,ANTIFRAGILE,"476,670,478","341,237"
Feid,Ferxxo 100,"471,928,959","512,303"
ROSALÍA,LA FAMA,"470,997,671","215,698"
Taylor Swift,Maroon,"470,810,367","254,657"
JIN,The Astronaut,"470,148,459","825,948"
SZA,Low,"469,534,284","278,944"
Harry Styles,Satellite,"467,471,154","193,628"
Conan Gray,Memories,"465,336,108","368,412"
Tate McRae,she's all i wanna be,"464,633,326","212,699"
The Weeknd,Out of Time,"464,399,242","228,884"
KAROL G,CAIRO,"464,126,774","430,545"
Hotel Ugly,Shut up My Moms Calling (Sped up),"454,218,972","606,564"
SZA,Open Arms,"453,625,624","891,586"
BTS,Run BTS,"453,207,177","225,452"
Beyoncé,BREAK MY SOUL,"451,484,770","150,322"
Bad Bunny,Andrea,"450,161,747","334,692"
Kendrick Lamar,N95,"448,848,389","364,535"
La Adictiva,JGL,"447,842,717","196,765"
Lauren Spencer Smith,Fingers Crossed,"446,937,085","182,806"
Bad Bunny,Otro Atardecer,"444,470,714","359,524"
Anggi Marito,Tak Segampang Itu,"443,092,288","592,750"
Bad Bunny,Dos Mil 16,"441,779,555","278,182"
KAROL G,GATÚBELA,"440,814,074","277,010"
