Artist,Title,Streams,Daily
The Weeknd,Blinding Lights,"4,373,483,663","1,828,707"
Glass Animals,Heat Waves,"3,073,228,802","1,255,454"
Dua Lipa,Levitating,"2,120,016,470","643,073"
The Weeknd,Save Your Tears,"2,050,049,323","1,044,859"
Bad Bunny,DÁKITI,"2,015,686,533","772,367"
BTS,Dynamite,"1,901,148,266","510,855"
Lauv,I Like Me Better,"1,810,823,322","529,769"
Conan Gray,Heather,"1,726,587,837","983,287"
Ava Max,Sweet but Psycho,"1,701,726,125","518,507"
Powfu,death bed (coffee for your head),"1,683,490,767","530,720"
DaBaby,ROCKSTAR,"1,652,355,550","260,743"
Trevor Daniel,Falling,"1,625,865,068","524,146"
The Weeknd,Save Your Tears (Remix),"1,594,631,633","873,102"
Eminem,Godzilla,"1,497,024,945","639,103"
Ariana Grande,positions,"1,459,263,493","464,830"
Taylor Swift,cardigan,"1,362,896,470","1,241,510"
Cardi B,WAP,"1,346,849,130","347,375"
Internet Money,Lemonade,"1,339,171,044","400,973"
Maluma,Hawái,"1,320,948,906","697,534"
Lil Mosey,Blueberry Faygo,"1,311,917,569","350,057"
blackbear,hot girl bummer,"1,277,933,709","336,071"
Future,Life Is Good,"1,251,338,066","254,802"
Selena Gomez,Lose You To Love Me,"1,240,528,868","295,650"
Joel Corry,Head & Heart,"1,222,354,903","391,490"
Dua Lipa,Break My Heart,"1,222,259,256","305,732"
Tiësto,The Business,"1,215,251,172","357,181"
Justin Bieber,Intentions,"1,194,189,308","313,547"
Kali Uchis,telepatía,"1,192,154,187","775,248"
Giveon,Heartbreak Anniversary,"1,189,658,280","531,592"
Taylor Swift,august,"1,161,248,377","2,250,721"
SZA,Good Days,"1,158,183,928","962,031"
Pop Smoke,What You Know Bout Love,"1,147,487,038","467,118"
Ariana Grande,Stuck with U,"1,140,473,698","384,540"
Elley Duhé,MIDDLE OF THE NIGHT,"1,138,435,791","715,705"
Jay Wheeler,La Curiosidad,"1,137,721,651","765,985"
Pop Smoke,For The Night,"1,132,716,024","234,956"
Jawsh 685,Savage Love (Laxed,"1,128,315,267","201,186"
Lady Gaga,Rain On Me,"1,075,012,013","258,684"
Drake,Toosie Slide,"1,068,591,889","182,985"
BLACKPINK,How You Like That,"1,050,012,067","327,108"
Noah Cyrus,July,"1,032,217,788","718,929"
Bad Bunny,LA NOCHE DE ANOCHE,"1,007,194,760","325,826"
The Weeknd,Heartless,"995,595,982","371,014"
Dua Lipa,Physical,"993,149,902","483,686"
Ariana Grande,34+35,"992,745,360","252,420"
Disclosure,Talk,"976,300,323","153,285"
Ava Max,Kings & Queens,"975,848,303","372,169"
Drake,Laugh Now Cry Later,"975,170,479","226,189"
Juice WRLD,Come & Go,"973,995,767","265,384"
Dua Lipa,Levitating,"971,125,864","381,664"
The Weeknd,After Hours,"970,858,840","534,514"
The Weeknd,In Your Eyes,"954,712,391","255,236"
Don Toliver,No Idea,"949,087,582","806,994"
Hotel Ugly,Shut up My Moms Calling,"945,532,880","1,600,113"
Bad Bunny,La Santa,"941,765,230","504,593"
Juice WRLD,Wishing Well,"917,654,075","308,162"
Polo G,Martin & Gina,"917,412,263","416,581"
Starley,Call on Me,"905,919,879","119,180"
Lauv,i'm so tired...,"893,434,429","133,586"
